n	k	theme	recipient	pref	lower	upper
n = 1	k = 1	short	short	0.00032719692310416285	-0.0002861291044680648	0.0009405229506763905
n = 1	k = 1	short	long	0.00032719716176137073	-0.000286128867799412	0.0009405231913221534
n = 1	k = 1	long	short	0.00032719716176137073	-0.000286128867799412	0.0009405231913221534
n = 1	k = 1	long	long	0.00032719716176137073	-0.000286128867799412	0.0009405231913221534
n = 2	k = 1	short	short	-0.07111954927444458	-0.17330706058668083	0.031067962037791663
n = 2	k = 1	short	long	-0.06551196527481079	-0.17018037800111702	0.03915644745149545
n = 2	k = 1	long	short	-0.07790938997268677	-0.18622712486061854	0.03040834491524501
n = 2	k = 1	long	long	-0.028332329213619233	-0.17150837603850064	0.11484371761126218
n = 3	k = 1	short	short	0.008342250473797322	-0.018220093994748894	0.03490459494234354
n = 3	k = 1	short	long	1.2938295363485812	1.2542311578077212	1.3334279148894412
n = 3	k = 1	long	short	-1.25790368244797	-1.2963264757957	-1.2194808891002398
n = 3	k = 1	long	long	0.09077868271217449	-0.016893574422913032	0.198450939847262
n = 4	k = 1	short	short	-0.016438731543716785	-0.03917576187424683	0.006298298786813258
n = 4	k = 1	short	long	0.0009031501693421333	-0.021955676411988957	0.023761976750673222
n = 4	k = 1	long	short	-0.006912519494300078	-0.031236733914526773	0.017411694925926615
n = 4	k = 1	long	long	0.0516083912849518	-0.028726398044094062	0.13194318061399768
n = 5	k = 1	short	short	0.0056322839025699165	-0.05334610291961776	0.0646106707247576
n = 5	k = 1	short	long	0.06799701632246749	0.0019384490670230348	0.13405558357791195
n = 5	k = 1	long	short	-0.04977422737311473	-0.11699806758294626	0.01744961283671679
n = 5	k = 1	long	long	0.07392714686128966	-0.04046518043446039	0.1883194741570397
n = 6	k = 1	short	short	0.020054047283933202	-0.05699667349220934	0.09710476806007574
n = 6	k = 1	short	long	-0.023099751769234424	-0.09077446685567059	0.04457496331720173
n = 6	k = 1	long	short	0.03971932679021208	-0.03059257971385474	0.11003123329427891
n = 6	k = 1	long	long	0.08247403009082956	-0.027396209835299973	0.19234427001695908
n = 7	k = 1	short	short	0.024628552658027388	-0.0822860361597112	0.13154314147576596
n = 7	k = 1	short	long	0.27952298200824	0.194954594052296	0.364091369964184
n = 7	k = 1	long	short	-0.20578571365843917	-0.28949365910075636	-0.122077768216122
n = 7	k = 1	long	long	0.04719424366263748	-0.04956993674454105	0.14395842406981602
n = 8	k = 1	short	short	-0.02511879962682724	-0.049841318377835196	-0.000396280875819284
n = 8	k = 1	short	long	-1.5941933211092227	-1.6373830335529596	-1.551003608665486
n = 8	k = 1	long	short	1.5876520873312283	1.5460967304531243	1.6292074442093323
n = 8	k = 1	long	long	0.06426781630512368	-0.0357041803567236	0.16423981296697096
n = 1	k = 2	short	short	-0.0003418356806666001	-0.0009723453962508095	0.0002886740349176093
n = 1	k = 2	short	long	-0.0003418354420093922	-0.0009723451572179733	0.00028867427319918885
n = 1	k = 2	long	short	-0.0003418354420093922	-0.0009723451572179733	0.00028867427319918885
