n	k	theme	recipient	pref	lower	upper
n = 1	k = 1	short	short	4.0874628412503355	4.0874628412503355	4.0874628412503355
n = 1	k = 1	short	long	4.087462841250342	4.087462841250342	4.087462841250342
n = 1	k = 1	long	short	4.0874628412503355	4.087462841250335	4.087462841250336
n = 1	k = 1	long	long	4.087462841250342	4.087462841250342	4.087462841250342
n = 2	k = 1	short	short	0.0	-0.11483287054224049	0.11483287054224049
n = 2	k = 1	short	long	0.0	-0.11483287054224049	0.11483287054224049
n = 2	k = 1	long	short	0.0	-0.11483287054224049	0.11483287054224049
n = 2	k = 1	long	long	0.0	-0.11483287054224049	0.11483287054224049
n = 3	k = 1	short	short	5.563856189774724	5.485972747682026	5.641739631867423
n = 3	k = 1	short	long	5.778953939817993	5.625511815593374	5.932396064042612
n = 3	k = 1	long	short	5.228758439731455	5.056074578970842	5.401442300492068
n = 3	k = 1	long	long	5.443856189774724	5.238585962316531	5.649126417232917
n = 4	k = 1	short	short	0.0	0.0	0.0
n = 4	k = 1	short	long	-0.6498044999134615	-0.8169089776658409	-0.48270002216108193
n = 4	k = 1	long	short	1.04	0.9837436122944867	1.0962563877055134
n = 4	k = 1	long	long	0.3901955000865385	0.22054955782579447	0.5598414423472826
n = 5	k = 1	short	short	0.0	0.0	0.0
n = 5	k = 1	short	long	-3.1974423109204507e-16	-5.156646141085931e-16	-1.2382384807549704e-16
n = 5	k = 1	long	short	1.0658141036401502e-16	-1.452747146180962e-17	2.2769029218983967e-16
n = 5	k = 1	long	long	-2.1316282072803005e-16	-4.3286047924564245e-16	6.5348377895823545e-18
n = 6	k = 1	short	short	0.0	0.0	0.0
n = 6	k = 1	short	long	0.0	0.0	0.0
n = 6	k = 1	long	short	0.0	0.0	0.0
n = 6	k = 1	long	long	0.0	0.0	0.0
n = 1	k = 2	short	short	4.247927513443585	4.247927513443585	4.247927513443585
n = 1	k = 2	short	long	4.247927513443585	4.247927513443584	4.247927513443586
n = 1	k = 2	long	short	4.247927513443585	4.247927513443584	4.247927513443586
n = 1	k = 2	long	long	4.247927513443585	4.247927513443584	4.247927513443586
n = 2	k = 2	short	short	0.0	-0.08119910146353519	0.08119910146353519
n = 2	k = 2	short	long	3.552713678800501e-16	-0.0811991014635349	0.08119910146353562
n = 2	k = 2	long	short	-2.842170943040401e-16	-0.0811991014635354	0.08119910146353485
n = 2	k = 2	long	long	0.0	-0.08119910146353519	0.08119910146353519
n = 3	k = 2	short	short	5.403856189774724	5.256798362450122	5.550914017099326
n = 3	k = 2	short	long	5.607254689803571	5.4384975950825085	5.776011784524633
n = 3	k = 2	long	short	5.0721569397603	4.885354420588333	5.258959458932268
n = 3	k = 2	long	long	5.275555439789147	5.0715683665390205	5.479542513039274
n = 4	k = 2	short	short	0.0	0.0	0.0
n = 4	k = 2	short	long	-0.6649022499567309	-0.8163869663535317	-0.51341753355993
n = 4	k = 2	long	short	1.08	1.0021165579073021	1.157883442092698
n = 4	k = 2	long	long	0.41509775004326926	0.24809086134965763	0.5821046387368809
n = 5	k = 2	short	short	0.0	0.0	0.0
n = 5	k = 2	short	long	-1.0000000000000002	-1.0000000000000004	-1.0
n = 5	k = 2	long	short	1.0	0.9999999999999999	1.0
n = 5	k = 2	long	long	-1.4210854715202004e-16	-3.139886512700034e-16	2.9771556965963333e-17
n = 6	k = 2	short	short	0.0	0.0	0.0
n = 6	k = 2	short	long	-1.7763568394002506e-16	-3.3062380017177943e-16	-2.4647567708270703e-17
n = 6	k = 2	long	short	3.552713678800501e-17	-3.5867317453480355e-17	1.0692159102949038e-16
n = 6	k = 2	long	long	-1.4210854715202004e-16	-3.139886512700034e-16	2.9771556965963333e-17
n = 1	k = 3	short	short	4.392317422778761	4.392317422778761	4.392317422778761
n = 1	k = 3	short	long	4.392317422778761	4.392317422778761	4.392317422778761
n = 1	k = 3	long	short	4.392317422778761	4.39231742277876	4.392317422778762
n = 1	k = 3	long	long	4.392317422778761	4.392317422778759	4.3923174227787625
n = 2	k = 3	short	short	0.0	-0.057416435271120246	0.057416435271120246
n = 2	k = 3	short	long	1.2789769243681803e-15	-0.05741643527111897	0.05741643527112152
n = 2	k = 3	long	short	-2.842170943040401e-16	-0.05741643527112053	0.05741643527111996
n = 2	k = 3	long	long	9.947598300641404e-16	-0.057416435271119254	0.05741643527112124
n = 3	k = 3	short	short	5.563856189774724	5.467096293167455	5.660616086381993
n = 3	k = 3	short	long	5.803856189774724	5.65905744955374	5.948654929995707
n = 3	k = 3	long	short	5.283856189774724	5.134573458069811	5.433138921479637
n = 3	k = 3	long	long	5.523856189774724	5.345587635457649	5.702124744091799
n = 4	k = 3	short	short	0.0	0.0	0.0
n = 4	k = 3	short	long	-0.8	-0.9148328705422405	-0.6851671294577596
n = 4	k = 3	long	short	1.04	0.9837436122944867	1.0962563877055134
n = 4	k = 3	long	long	0.24	0.11739204553151167	0.3626079544684883
n = 5	k = 3	short	short	0.0	0.0	0.0
n = 5	k = 3	short	long	-1.0	-1.0	-1.0
n = 5	k = 3	long	short	1.0	1.0	1.0
n = 5	k = 3	long	long	0.0	0.0	0.0
n = 6	k = 3	short	short	0.0	0.0	0.0
n = 6	k = 3	short	long	-1.0	-1.0	-1.0
n = 6	k = 3	long	short	1.0	1.0	1.0
n = 6	k = 3	long	long	0.0	0.0	0.0
n = 1	k = 4	short	short	4.523561956057008	4.523561956057008	4.523561956057008
n = 1	k = 4	short	long	4.523561956057017	4.523561956057015	4.523561956057018
n = 1	k = 4	long	short	4.523561956057016	4.523561956057013	4.523561956057018
n = 1	k = 4	long	long	4.523561956057016	4.523561956057011	4.52356195605702
n = 2	k = 4	short	short	0.0	0.0	0.0
n = 2	k = 4	short	long	2.0605739337042904e-15	1.294885775947328e-15	2.8262620914612527e-15
n = 2	k = 4	long	short	-1.7053025658242404e-15	-2.3891820718836077e-15	-1.021423059764873e-15
n = 2	k = 4	long	long	1.4210854715202004e-16	-8.563725343553336e-16	1.1405896286593736e-15
n = 3	k = 4	short	short	5.603856189774724	5.547599802069211	5.660112577480238
n = 3	k = 4	short	long	5.818953939817993	5.668881022842222	5.969026856793763
n = 3	k = 4	long	short	5.148758439731455	4.961470686722597	5.336046192740312
n = 3	k = 4	long	long	5.363856189774724	5.1354756448939565	5.592236734655492
n = 4	k = 4	short	short	0.0	0.0	0.0
n = 4	k = 4	short	long	-0.76	-0.8826079544684883	-0.6373920455315117
n = 4	k = 4	long	short	0.96	0.9037436122944866	1.0162563877055133
n = 4	k = 4	long	long	0.2	0.0716129477080586	0.32838705229194143
n = 5	k = 4	short	short	0.0	0.0	0.0
n = 5	k = 4	short	long	-1.0	-1.0000000000000002	-0.9999999999999999
n = 5	k = 4	long	short	1.0	0.9999999999999999	1.0000000000000002
n = 5	k = 4	long	long	0.0	-1.7665546017843427e-16	1.7665546017843427e-16
n = 6	k = 4	short	short	0.0	0.0	0.0
n = 6	k = 4	short	long	-1.0	-1.0	-1.0
n = 6	k = 4	long	short	1.0	1.0	1.0
n = 6	k = 4	long	long	0.0	0.0	0.0
