n	k	theme	recipient	pref	lower	upper
n = 1	k = 1	short	short	4.0874628412503355	4.0874628412503355	4.0874628412503355
n = 1	k = 1	short	long	4.087462841250343	4.087462841250343	4.087462841250343
n = 1	k = 1	long	short	4.087462841250337	4.087462841250337	4.087462841250337
n = 1	k = 1	long	long	4.087462841250342	4.087462841250342	4.087462841250342
n = 2	k = 1	short	short	-0.001699250014423086	-0.06709100183767136	0.06369250180882519
n = 2	k = 1	short	long	-0.001699250014422411	-0.0670910018376707	0.06369250180882588
n = 2	k = 1	long	short	-0.0016992500144235123	-0.0670910018376718	0.06369250180882477
n = 2	k = 1	long	long	-0.0016992500144228373	-0.06709100183767114	0.06369250180882546
n = 3	k = 1	short	short	7.463856189774724	7.408361821926338	7.51935055762311
n = 3	k = 1	short	long	7.8438724707812915	7.750663378205782	7.937081563356801
n = 3	k = 1	long	short	6.760531018279299	6.6566900955021575	6.864371941056441
n = 3	k = 1	long	long	7.140547299285865	7.0125064345616615	7.268588164010069
n = 4	k = 1	short	short	-8.881784197001253e-18	-6.154248089368757e-17	4.3778912499685064e-17
n = 4	k = 1	short	long	-0.4649022499567309	-0.5469374674971265	-0.3828670324163353
n = 4	k = 1	long	short	1.1300000000000003	1.0829887169288406	1.17701128307116
n = 4	k = 1	long	long	0.6650977500432694	0.5666565923483422	0.7635389077381967
n = 5	k = 1	short	short	1.7763568394002505e-17	-2.5173917194925022e-17	6.070105398293003e-17
n = 5	k = 1	short	long	-2.486899575160351e-16	-3.4498965716729325e-16	-1.5239025786477695e-16
n = 5	k = 1	long	short	2.3092638912203257e-16	1.403343485434948e-16	3.215184297005703e-16
n = 5	k = 1	long	long	-3.552713678800501e-17	-1.6204543992992785e-16	9.099116635391782e-17
n = 6	k = 1	short	short	4.4408920985006264e-17	-1.8593847752932504e-17	1.0741168972294503e-16
n = 6	k = 1	short	long	4.085620730620576e-16	2.928627211656366e-16	5.242614249584786e-16
n = 6	k = 1	long	short	-4.085620730620576e-16	-5.319968075446023e-16	-2.851273385795129e-16
n = 6	k = 1	long	long	-4.4408920985006264e-17	-2.0231293256774973e-16	1.1349509059773723e-16
n = 1	k = 2	short	short	4.247927513443585	4.247927513443585	4.247927513443585
n = 1	k = 2	short	long	4.247927513443585	4.247927513443585	4.247927513443585
n = 1	k = 2	long	short	4.247927513443585	4.247927513443585	4.247927513443585
n = 1	k = 2	long	long	4.247927513443585	4.247927513443584	4.247927513443586
n = 2	k = 2	short	short	0.008300749985576665	-0.062470183573453734	0.07907168354460706
n = 2	k = 2	short	long	0.008300749985577234	-0.062470183573453124	0.07907168354460758
n = 2	k = 2	long	short	0.008300749985576186	-0.06247018357345416	0.07907168354460653
n = 2	k = 2	long	long	0.00830074998557679	-0.062470183573453554	0.07907168354460714
n = 3	k = 2	short	short	7.400081752263906	7.334775687405775	7.465387817122038
n = 3	k = 2	short	long	7.74501656423377	7.652851832926191	7.837181295541348
n = 3	k = 2	long	short	6.743930736623604	6.632669063229716	6.855192410017492
n = 3	k = 2	long	long	7.088865548593467	6.954689468077173	7.223041629109761
n = 4	k = 2	short	short	-4.4408920985006264e-17	-9.671717180292123e-17	7.899329832908691e-18
n = 4	k = 2	short	long	-0.4998044999134613	-0.5838237993566879	-0.4157852004702347
n = 4	k = 2	long	short	1.1	1.0580635120606525	1.1419364879393477
n = 4	k = 2	long	long	0.6101955000865388	0.5207840636563048	0.6996069365167727
n = 5	k = 2	short	short	0.0	0.0	0.0
n = 5	k = 2	short	long	-1.0	-1.0	-1.0
n = 5	k = 2	long	short	0.9999999999999999	0.9999999999999998	1.0
n = 5	k = 2	long	long	-5.329070518200751e-17	-1.3898598381900147e-16	3.240457345498643e-17
n = 6	k = 2	short	short	0.0	-3.511688717720143e-17	3.511688717720143e-17
n = 6	k = 2	short	long	5.329070518200751e-17	-1.7319774417522987e-18	1.0831338780576733e-16
n = 6	k = 2	long	short	-1.5987211554602254e-16	-2.351485032134038e-16	-8.459572787864127e-17
n = 6	k = 2	long	long	-1.0658141036401502e-16	-1.9486389580083866e-16	-1.8298924927191385e-17
n = 1	k = 3	short	short	4.39231742277876	4.39231742277876	4.39231742277876
n = 1	k = 3	short	long	4.392317422778761	4.39231742277876	4.392317422778762
n = 1	k = 3	long	short	4.392317422778761	4.39231742277876	4.392317422778762
n = 1	k = 3	long	long	4.3923174227787625	4.392317422778761	4.392317422778764
n = 2	k = 3	short	short	-0.004150374992788457	-0.06512246605922156	0.05682171607364464
n = 2	k = 3	short	long	-0.0041503749927896474	-0.0651224660592227	0.05682171607364341
n = 2	k = 3	long	short	-0.004150374992786841	-0.06512246605921998	0.056821716073646306
n = 2	k = 3	long	long	-0.004150374992788812	-0.06512246605922183	0.0568217160736442
n = 3	k = 3	short	short	7.420081752263908	7.353391367808237	7.486772136719578
n = 3	k = 3	short	long	7.820375002393715	7.719668082387852	7.921081922399578
